0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:20:58 +0900] "GET /images/icon-instagram.png HTTP/1.1" 200 736
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:20:58 +0900] "GET /images/icon-facebook.png HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:20:58 +0900] "GET /images/icon-youtube.png HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:20:58 +0900] "GET /images/icon-arrow-down-blue.png HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:20:59 +0900] "GET /images/icon-review-arrow-prev.png HTTP/1.1" 200 4152
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:20:59 +0900] "GET /images/icon-review-arrow-next.png HTTP/1.1" 200 3936
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:20:59 +0900] "GET /source/fonts/NotoSans-Regular.woff HTTP/1.1" 200 235984
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:20:59 +0900] "GET /source/fonts/NotoSans-Bold.woff HTTP/1.1" 200 238600
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:20:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:24 +0900] "GET /index.jsp HTTP/1.1" 200 8964
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:28 +0900] "GET /product/list.jsp HTTP/1.1" 200 13292
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:28 +0900] "GET /images/product-list-img2.jpg HTTP/1.1" 200 108683
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:28 +0900] "GET /images/product-list-img1.jpg HTTP/1.1" 200 61090
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:28 +0900] "GET /images/product-list-img3.jpg HTTP/1.1" 200 68790
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:28 +0900] "GET /images/product-list-img4.jpg HTTP/1.1" 200 55918
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:28 +0900] "GET /images/product-list-img12345.jpg HTTP/1.1" 200 52649
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:28 +0900] "GET /images/icon-like-off.png HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:28 +0900] "GET /images/product-list-icon1.jpg HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:30 +0900] "GET /product/listView.jsp?pNo=1 HTTP/1.1" 200 53554
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:30 +0900] "GET /style/swiper.min.css HTTP/1.1" 200 19785
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:30 +0900] "GET /style/style_calendar.css HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:30 +0900] "GET /source/swiper.min.js HTTP/1.1" 200 120380
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:30 +0900] "GET /script/calendar.js HTTP/1.1" 200 6618
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:30 +0900] "GET /images/icon-share.png HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:30 +0900] "GET /images/icon-sns-url.png HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:30 +0900] "GET /images/icon-sns-facebook.png HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:30 +0900] "GET /images/icon-sns-twitter.png HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:30 +0900] "GET /images/product-detail-img1-1.jpg HTTP/1.1" 200 718527
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:30 +0900] "GET /images/product-detail-img1-2.jpg HTTP/1.1" 200 1013948
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:30 +0900] "GET /images/product-detail-img1-3.jpg HTTP/1.1" 200 1440567
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:30 +0900] "GET /images/product-detail-img1-4.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:30 +0900] "GET /images/fileUpload/product-review-img5.jpg HTTP/1.1" 200 388772
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:30 +0900] "GET /images/fileUpload/%EA%B2%B0%EA%B3%BC%ED%99%94%EB%A9%B402.jpg HTTP/1.1" 200 315366
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:30 +0900] "GET /images/fileUpload/product-review-img4.jpg HTTP/1.1" 200 348497
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:30 +0900] "GET /images/fileUpload/product-review-img3.jpg HTTP/1.1" 200 307938
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:30 +0900] "GET /images/fileUpload/product-review-img2.jpg HTTP/1.1" 200 279844
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:30 +0900] "GET /images/fileUpload/product-review-img1.jpg HTTP/1.1" 200 392668
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:30 +0900] "GET /images/fileUpload/product-review-img6.jpg HTTP/1.1" 200 245613
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:30 +0900] "GET /images/icon-cal-arrow-next.png HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:30 +0900] "GET /images/icon-cal-arrow-prev.png HTTP/1.1" 200 1198
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:30 +0900] "GET /images/icon-head-minus.png HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:21:30 +0900] "GET /images/icon-head-plus.png HTTP/1.1" 200 472
